learn,lemp,lpart,ledu,linvest,lgov,lselfemp,leconmix,lolddep,lhousing,lhealth,lpopd,lmtravel,dmarket,dpark
9.721546,-1.055834,3.877432,2.302585,.5877866,2.079442,2.653242,4.59512,3.139833,.7654679,-.1613431,8.526326,3.077312,.9317361,6.742915
10.38921,-.6825292,4.149464,3.401197,1.686399,2.60269,2.104134,4.585988,3.325036,.8042412,-.0418642,5.620395,2.873565,4.407377,9.423351
10.16777,-.6917391,4.261271,3.020425,1.704748,2.24071,2.186051,4.588024,2.714695,.7929925,-.0429075,8.4292,3.194583,.9694613,6.850629
10.47622,-.7372969,4.160444,3.100092,2.360854,2.541602,1.064711,4.584968,3.790985,.9969487,-.0120726,7.924482,3.005683,1.803458,5.858475
9.931054,-.7452263,4.204693,2.451005,2.174752,1.960095,1.791759,4.598145,2.928524,.8458682,-.1323892,8.807631,2.970414,1.160939,6.734147
10.41238,-.5982143,4.295924,3.139833,1.410987,2.493206,1.547562,4.592085,3.104587,.8219801,-.0565704,4.818759,3.054001,4.910584,5.496228
10.50936,-.6308006,4.231204,3.206803,2.054124,2.219203,.8754688,4.602166,3.058707,.8350807,-.0242927,5.625624,2.99072,4.290623,3.399245
10.47271,-.6501883,4.200205,3.78419,2.681021,2.985682,1.667707,4.60517,3.449988,.8153648,-.0491902,6.543476,3.086487,2.140907,6.023591
9.08557,-1.418117,3.69883,2.116256,1.163151,.6418539,2.066863,4.60517,3.437208,.7490548,-.0965109,8.467529,2.791165,.4342742,7.29617
10.15199,-.8647878,4.20916,2.557227,2.360854,2.079442,,4.585988,2.370244,.8899468,-.0801261,8.096073,2.844909,.4154208,7.839854
9.407304,-.8436051,3.979682,2.727853,1.064711,1.902107,1.974081,4.563306,3.104587,.6312718,-.0899247,9.24727,2.827314,.6359506,8.24443
9.919361,-1.202146,3.937691,2.322388,1.386294,2.370244,2.174752,4.596129,2.687847,.8858315,-.2094872,8.482097,2.933857,.8350973,7.558766
10.20459,-.7107947,4.188138,3.049273,1.504077,2.533697,1.974081,4.593098,3.356897,.7275486,-.05975,8.205404,2.714695,1.341957,7.82895
10.33293,-.5819418,4.206184,2.960105,1.916923,2.104134,2.028148,4.59512,3.532226,.6286086,-.0345914,5.546938,2.99072,4.659228,8.856495
10.4484,-.59979,4.261271,2.99072,1.974081,2.014903,1.916923,4.597138,3.561046,.7608059,-.0544562,7.747019,3.144152,1.573408,9.145592
10.41858,-.6463462,4.191169,2.99072,2.681021,2.442347,2.014903,4.50976,3.511545,.81315,-.0481404,6.297812,3.169686,3.240802,10.55284
9.784479,-.6925175,4.178992,2.949688,1.481605,2.557227,1.871802,4.60517,3.091043,.9301937,-.0704225,6.979206,2.939162,2.851997,10.14635
10.35733,-.6777503,4.216562,2.517696,1.757858,2.617396,.6931472,4.600158,3.010621,.786182,-.0304592,5.722257,3.265759,7.577365,8.104621
10.32555,-.6985845,4.220977,3.086487,2.014903,2.360854,1.064711,4.592085,2.815409,.9001614,-.0283995,6.282677,3.280911,8.925094,11.22876
10.47974,-.4789253,4.391977,3.683867,2.128232,2.104134,1.84055,4.600158,2.687847,.722706,-.0314907,4.628409,3.421,10.35405,5.219983
10.34323,-.6586024,4.232656,2.646175,1.609438,2.721295,2.442347,4.588024,3.427515,.8565407,-.0232686,4.867689,3.339322,9.602642,2.647527
10.32095,-.6831827,4.22391,2.923162,1.791759,2.341806,2.140066,4.599152,3.222868,.8522854,-.0640053,4.926067,3.314186,7.627657,6.737088
10.42439,-.6425679,4.204693,3.11795,1.193922,2.747271,1.609438,4.602166,3.226844,.9062403,-.040822,4.574058,3.367296,11.49089,16.35408
10.389,-.7234744,4.154184,2.890372,.8329091,2.61007,1.458615,4.597138,3.299534,.8329091,-.0888312,4.026436,3.526361,20.97086,23.3679
10.02579,-.9384474,4.037774,2.60269,1.856298,1.757858,2.541602,4.601162,3.608212,.8175748,-.0491902,5.067846,3.397858,20.01976,22.68331
10.31629,-.6678531,4.247066,2.873565,1.84055,2.639057,2.282382,4.581902,3.210844,.9062403,-.0544562,3.96331,3.532226,14.05906,20.57536
10.40756,-.5945635,4.289089,3.144152,2.251292,2.624669,1.902107,4.577799,2.985682,.9612641,-.05975,4.904305,3.265759,7.076188,14.34189
10.42848,-.6496745,4.266896,2.949688,1.740466,2.140066,1.193922,4.599152,3.254243,.9555114,-.0502412,5.101266,3.284664,7.848448,15.1663
10.18814,-.9272014,3.901973,3.039749,.9932518,3.242592,2.397895,4.583947,3.916015,.8197798,-.0629398,1.336643,3.258096,154.5799,20.33403
10.14065,-1.016481,3.781914,2.442347,0,3.100092,2.370244,4.574711,3.795489,.7275486,-.0866478,3.584972,2.844909,169.5892,17.02828
10.20518,-.8187389,3.966511,3.049273,.9932518,2.24071,2.282382,4.584968,3.806663,.6070445,-.1154109,4.248523,2.687847,173.6164,7.519743
10.17374,-.9782301,3.858622,2.701361,2.079442,2.912351,2.04122,4.600158,3.770459,.6754923,-.0491902,3.353415,2.772589,170.2432,2.712373
10.13896,-.6730846,4.155753,3.218876,.9555114,2.509599,2.484907,4.601162,3.277145,.722706,-.0523465,4.301148,2.667228,168,7.987072
10.15976,-.9897447,3.83298,2.681021,1.193922,2.681021,2.219203,4.596129,3.906005,.6881347,-.0899247,-.099546,3.218876,145.0319,43.31284
10.19672,-.8949259,4.023564,2.687847,.9932518,2.844909,2.261763,4.55598,3.7612,.8733832,-.117658,2.243947,3.178054,127.965,20.10554
10.28585,-.7620577,4.130355,2.821379,1.064711,2.879198,1.974081,4.60517,3.430756,.8712934,-.10425,3.194889,3.11795,143.6046,17.70259
10.32177,-.7263349,4.178992,3.214868,1.88707,2.163323,1.740466,4.570579,3.218876,.9122827,-.058689,3.271975,2.906901,132.6442,7.642603
10.04529,-.7638494,4.039536,2.944439,.1823216,3.049273,2.509599,4.593098,3.693867,.6981347,-.0801261,5.095452,2.60269,148.8225,19.59567
10.32469,-.9337839,3.949319,2.939162,1.481605,3.380995,1.974081,4.60517,3.613617,.7395536,-.0844691,4.556889,3.034953,150.1421,20.03009
10.29887,-.7110746,4.102643,3.00072,1.458615,3.00072,2.104134,4.597138,3.621671,.8565407,-.0877389,4.269775,2.850706,143.6463,13.52031
9.754407,-.9973255,3.877432,2.890372,-.2231435,3.353407,2.140066,4.540098,3.487375,.8671005,-.058689,3.908262,2.646175,151.7645,21.27854
10.38406,-.757861,4.07244,2.923162,1.667707,2.687847,2.174752,4.600158,3.496508,.7202759,-.046044,3.67773,2.884801,140.8259,11.30591
10.02513,-.7835522,4.09601,3.139833,1.504077,2.667228,1.308333,4.591071,3.273364,.8858315,-.0943106,4.801483,2.701361,139.0727,8.667064
10.30075,-.6959269,4.114147,3.238678,1.791759,2.95491,1.94591,4.60517,3.8795,.6931472,-.0439519,4.968913,2.388763,134.4028,4.051425
9.648788,-.7454309,4.141546,2.104134,-.1053605,2.674149,1.722767,4.60417,2.97553,.7537718,-.1312483,4.667734,2.595255,132.0012,1.551886
10.10312,-.855223,3.992681,2.727853,1.481605,2.525729,1.987874,4.547541,3.411148,.7701083,-.0523465,3.389687,2.923162,126.9026,7.652503
10.14471,-.8313889,4.027136,2.379546,1.435084,2.572612,2.459589,4.60517,3.487375,.7584667,-.1255632,1.231427,3.161247,113.3923,17.22138
10.05895,-.7509417,4.100989,2.687847,.7419373,2.949688,.7884574,4.571613,3.484312,.8241754,-.1636961,5.367927,2.557227,103.7143,34.11803
10.28316,-.7109129,4.060443,2.895912,1.335001,2.844909,2.493206,4.60517,3.678829,.7466879,-.0640053,4.731654,2.424803,102.1329,33.32999
10.09237,-.8511402,4.084294,2.867899,.6931472,2.895912,2.572612,4.581902,3.295837,.8816993,-.0855579,2.807908,3.00072,97.9694,34.49821
10.02393,-.8860508,3.975936,2.791165,.9162908,2.862201,2.564949,4.60517,3.869116,.8671005,-.1031407,2.282888,3.194583,88.9169,20.52251
10.14506,-.935167,3.918005,2.809403,1.435084,2.74084,2.251292,4.60517,3.594569,.7839016,-.076881,1.435295,3.104587,77.89962,30.79171
10.44552,-.4194709,4.306764,4.143135,2.208274,1.902107,2.128232,4.603168,2.99072,.644482,-.0242927,9.006241,2.939162,.6603217,7.456933
10.42943,-.3973585,4.388257,4.034241,1.252763,2.261763,2.091864,4.598145,2.517696,.7466879,-.0253178,9.605007,2.995732,.7255711,7.090493
10.03933,-.6481186,4.130355,3.808882,.9932518,1.740466,1.686399,4.55598,2.76001,.3576744,-.0704225,8.349866,2.884801,.6735922,6.210016
9.94165,-.690332,4.215086,3.025291,1.84055,.7884574,1.88707,4.60517,2.459589,.8415672,-.0273712,8.881732,3.100092,.4938827,7.328262
9.893891,-.7701818,4.201703,3.508556,.8329091,1.960095,1.648659,4.599152,2.322388,.7055697,-.0544562,9.508136,2.939162,.3810106,6.840704
10.00704,-.477004,4.287716,3.552487,1.335001,1.386294,1.335001,4.598145,1.308333,.6178847,-.1009259,9.622503,2.906901,.8447939,6.684854
10.28562,-.4843357,4.264087,3.923952,1.163151,1.88707,1.974081,4.60517,3.135494,.5960855,-.040822,9.886847,2.833213,.8615128,6.150103
10.21079,-.4503037,4.373238,4.060443,1.667707,1.648659,1.740466,4.597138,1.774952,.8394097,-.0387408,10.05895,3.077312,1.064997,6.108995
10.15175,-.5467853,4.220977,3.994524,2.208274,2.014903,2.140066,4.596129,2.85647,.585005,-.058689,8.855666,2.965273,1.261524,6.324492
10.34862,-.3846531,4.411585,3.941582,1.824549,2.292535,2.322388,4.602166,2.809403,.7677907,-.026344,8.789758,2.714695,1.068118,7.274297
10.5562,-.4613222,4.369448,4.154184,1.871802,2.322388,1.987874,4.592085,2.76001,.860778,-.0439519,8.682002,3.010621,2.047817,7.613237
10.34766,-.4412299,4.320151,4.063885,2.388763,2.595255,2.116256,4.590056,3.234749,.6678294,-.0377019,8.308724,2.944439,1.605197,8.273789
10.4649,-.4898703,4.325456,3.903991,2.208274,2.197225,2.312536,4.60517,2.884801,.8219801,-.0397808,8.790071,2.867899,2.22557,8.267789
10.48347,-.6369603,4.19268,3.691376,2.341806,2.70805,1.648659,4.582925,3.394508,.8565407,-.0304592,7.929779,2.960105,3.380394,9.009911
10.19407,-.707222,4.074142,3.589059,2.174752,2.174752,1.223776,4.587006,2.525729,.9001614,-.058689,6.799338,2.766319,2.976295,7.368876
10.59803,-.6972873,4.22391,3.919991,2.442347,2.525729,2.116256,4.599152,3.104587,.9360933,-.0397808,8.032779,2.995732,3.4794,10.22663
10.27557,-.6440269,4.280824,3.65842,1.686399,2.163323,1.458615,4.599152,2.76001,.9764447,-.0242927,7.306225,2.97553,3.788868,10.07791
10.43185,-.6299291,4.166665,3.749504,2.778819,2.219203,1.193922,4.585988,3.572345,.7770286,-.036664,7.975848,3.015535,2.539449,9.292746
10.34647,-.6905546,4.189655,3.508556,2.24071,2.24071,1.686399,4.60517,2.862201,.7793249,-.0171462,8.237817,2.833213,2.118241,8.950448
10.31205,-.7163761,4.109233,4.178992,1.589235,2.525729,3.218876,4.588024,3.925926,.6097656,-.0151136,5.609715,3.535145,5.150101,8.434111
10.63912,-.7251166,4.109233,4.289089,2.459589,2.442347,1.987874,4.594109,3.732896,.8307329,-.026344,6.789273,2.821379,3.861755,10.1112
10.76924,-.6472897,4.2442,4.212128,2.415914,2.557227,2.230014,4.589041,3.246491,.8628899,-.0283995,5.770099,3.058707,7.663029,10.56695
10.60782,-.636135,4.175924,3.610918,2.821379,1.757858,2.151762,4.60517,3.720862,.7419373,-.0335568,6.537081,3.182212,5.974316,11.97124
10.34094,-.6927349,4.178992,3.178054,2.014903,2.066863,1.223776,4.598145,2.970414,.8733832,-.0747236,6.895532,3.122365,6.483206,11.67217
10.34622,-.6730981,4.18662,3.299534,1.504077,1.410987,.7419373,4.60517,3.430756,.7323679,-.0640053,7.432919,3.165475,4.353086,8.988103
10.36205,-.6421018,4.235555,3.165475,2.541602,2.163323,1.629241,4.598145,3.100092,.8649974,-.018164,7.160549,3.025291,5.569888,8.312582
10.32443,-.6672889,4.213608,3.269569,1.974081,1.667707,1.360977,4.60517,2.890372,.9162908,-.0672087,7.115981,2.674149,3.858627,6.216199
10.32263,-.5480959,4.278054,3.852273,1.960095,2.370244,1.481605,4.60517,2.95491,.8350807,-.0555127,8.189482,2.933857,2.081693,5.15769
10.53625,-.609439,4.218036,3.775057,1.960095,2.694627,2.197225,4.60517,3.374169,.7006192,-.0356272,8.562679,3.182212,1.308186,5.544998
10.34769,-.4426617,4.363099,3.508556,2.517696,1.84055,1.193922,4.596129,2.721295,.9042181,-.0534008,7.193358,2.80336,3.515655,4.670858
10.65441,-.5798032,4.302713,4.012773,2.251292,2.815409,2.251292,4.602166,3.214868,.8175748,-.0356272,7.948258,3.095578,2.878506,4.147091
10.39305,-.5487263,4.264087,4.01458,2.00148,2.587764,2.379546,4.60517,3.397858,.7006192,-.0151136,8.370834,3.063391,1.568126,5.661779
10.82862,-.5480348,4.276666,4.291828,2.572612,2.174752,2.74084,4.603168,3.349904,.7631395,-.026344,6.990084,3.030134,3.413735,3.77732
10.85455,-.7219924,4.136765,4.10759,2.557227,2.541602,2.332144,4.573679,3.779634,.737164,-.0544562,6.132884,3.100092,6.151016,.8139024
10.70587,-.5714111,4.35927,3.751854,2.433613,2.360854,2.151762,4.593098,2.95491,.9341307,-.0335568,5.705579,3.194583,7.966629,9.278977
10.11666,-.5842343,4.245634,3.871201,2.406945,2.533697,1.629241,4.511958,3.169686,.7929925,-.06935,6.343365,3.139833,9.619218,10.93069
10.49388,-.5789018,4.284965,3.65842,2.370244,2.674149,2.360854,4.574711,2.944439,1.017041,-.036664,5.454944,3.328627,12.46769,13.95953
10.84121,-.6016364,4.261271,4.174387,2.564949,2.014903,2.00148,4.593098,3.427515,.8501509,-.0314907,5.710474,3.198673,6.641983,7.306382
10.45662,-.724159,4.128746,4.025352,2.797281,2.397895,1.84055,4.600158,3.417727,.786182,-.0481404,6.51025,3.054001,10.98502,4.987682
10.62741,-.7127362,4.109233,4.22391,2.541602,2.442347,1.871802,4.584968,3.637586,.7793249,-.0161294,6.38601,3.005683,9.80861,4.13176
10.21101,-.5569382,4.295924,3.754199,1.609438,1.757858,2.564949,4.60517,3.317816,.9820785,-.026344,5.302067,2.965273,16.0716,3.11837
10.49853,-.6665911,4.166665,4.069027,1.902107,2.80336,2.406945,4.60517,3.238678,.8458682,-.0273712,5.585597,3.049273,14.46385,.5748346
10.79798,-.5198755,4.354141,4.018183,2.028148,2.476538,2.341806,4.572647,2.970414,.9535865,-.0242927,5.161045,3.152736,13.12567,4.315169
10.39992,-.5164436,4.293195,3.873282,1.871802,2.839078,1.704748,4.593098,3.198673,.8394097,-.0100503,5.132812,3.404525,16.4277,10.04484
10.36066,-.6474352,4.31882,3.433987,2.251292,2.332144,2.116256,4.59512,3.00072,.9969487,-.0618754,5.248889,3.353407,15.22046,7.037006
10.49775,-.6420892,4.168214,3.608212,2.785011,2.484907,1.458615,4.60517,3.295837,.8565407,-.0242927,6.272599,3.339322,15.55697,8.768499
10.53969,-.5480849,4.375757,3.456317,1.856298,2.667228,1.94591,4.60517,2.912351,1.096944,-.0866478,5.787573,3.242592,11.2004,12.12563
10.44903,-.6808651,4.119037,3.360375,2.04122,2.397895,1.629241,4.590056,3.11795,.7839016,-.05975,5.787921,3.332205,10.27527,13.96967
10.21226,-.7314979,4.183576,3.273364,1.916923,1.648659,2.04122,4.593098,3.38439,.8415672,-.076881,5.735311,3.113515,20.84391,10.31779
10.26806,-.7705095,4.043051,3.925926,1.902107,2.734367,2.186051,4.580877,3.85651,.751416,-.0387408,6.507807,3.077312,19.35859,6.103168
9.685518,-.6493883,4.112512,3.78646,.8329091,2.174752,2.066863,4.60517,3.269569,.7055697,-.0470916,7.832283,2.721295,18.45684,9.004181
10.51965,-.6132907,4.25703,3.901973,1.722767,2.660259,2.282382,4.600158,3.246491,.8981267,-.0345914,4.853725,3.104587,15.96587,6.794202
10.51149,-.5705345,4.314818,3.411148,1.547562,2.533697,2.302585,4.568506,3.072693,.9341307,-.0544562,4.659648,3.360375,11.07408,4.89432
10.47844,-.5586737,4.264087,3.577948,2.163323,2.714695,2.163323,4.537961,3.299534,.7561221,-.0491902,4.911773,3.514526,17.71695,5.419634
10.16996,-.7443584,4.149464,3.131137,1.568616,2.091864,1.629241,4.602166,3.421,.8940451,-.0812101,4.813013,3.459466,17.50603,4.348881
10.47144,-.6547238,4.175924,3.356897,1.987874,1.856298,2.415914,4.575741,3.580737,.7443155,-.0618754,4.823097,3.566712,22.82645,4.840894
10.33485,-.756061,4.025352,3.356897,1.547562,2.734367,2.753661,4.60517,3.775057,.7608059,-.0608122,4.430952,3.427515,21.77421,13.01812
10.20293,-.8069173,4.051785,3.387774,2.433613,2.549445,1.609438,4.60517,3.437208,.9082586,-.0010005,4.544927,3.206803,25.8383,11.42666
10.33906,-.6627929,4.144721,3.246491,1.589235,2.631889,2.230014,4.550714,3.377588,.8197798,-.0387408,3.802259,3.605498,26.40564,6.962924
10.56996,-.6272027,4.247066,3.391147,2.272126,2.639057,2.00148,4.558079,2.960105,.8960881,-.0314907,4.999546,3.520461,18.81626,10.515
9.987139,-.6313661,4.18205,3.33577,2.163323,2.360854,2.174752,4.60517,3.091043,.9102726,-.0555127,5.364476,3.246491,18.3587,7.403458
10.50202,-.7326364,4.030694,3.977811,1.902107,2.484907,2.484907,4.600158,4.097672,.7793249,-.0294288,5.071668,3.490428,15.22311,5.022028
10.48755,-.7589487,4.007333,3.802208,2.104134,2.424803,2.99072,4.598145,4.197202,.7816158,-.0222456,5.486125,3.356897,17.20762,7.127974
10.54534,-.5595601,4.330733,3.777348,2.493206,2.388763,1.931521,4.591071,3.039749,1.042042,-.0377019,5.741671,2.912351,8.112818,5.924381
